epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6077,0.97383,2.89223,1.17652,0,0,0,0,0,19.8125,0,0.00031438,0.00031438,0.00031438
2,9.13066,0.97986,1.74768,1.17991,0,0,0,0,0,23.1875,0,0.000636684,0.000636684,0.000636684
3,13.638,0.95614,1.27861,1.14793,0,0,0,0,0,30.9219,0,0.00095248,0.00095248,0.00095248
4,18.1499,0.96168,1.14139,1.1125,0,0,0,0,0,36.4688,0,0.00126177,0.00126177,0.00126177
5,22.6661,0.97379,1.11199,1.12071,0,0,0,0,0,200.375,0,0.00137241,0.00137241,0.00137241
6,27.2042,0.94357,1.04321,1.10302,0,0,0,0,0,185.75,0,0.00135826,0.00135826,0.00135826
7,31.754,0.91706,0.98677,1.08901,0,0,0,0,0,214.625,0,0.00134412,0.00134412,0.00134412
8,36.3082,0.9365,0.95412,1.1043,0,0,0,0,0,220.25,0,0.00132997,0.00132997,0.00132997
9,40.887,0.88511,0.91614,1.08023,0,0,0,0,0,282.25,0,0.00131582,0.00131582,0.00131582
10,45.4631,0.88236,0.88121,1.07308,0,0,0,0,0,287.5,0,0.00130168,0.00130168,0.00130168
11,50.0717,0.90001,0.86669,1.09108,0,0,0,0,0,260,0,0.00128753,0.00128753,0.00128753
12,54.6713,0.86365,0.82252,1.06045,0,0,0,0,0,297.5,0,0.00127338,0.00127338,0.00127338
13,59.2753,0.86706,0.81723,1.06752,0,0,0,0,0,242.375,0,0.00125923,0.00125923,0.00125923
14,63.8944,0.85341,0.7896,1.06086,0,0,0,0,0,172.5,0,0.00124509,0.00124509,0.00124509
15,68.4904,0.82838,0.78527,1.05219,0,0,0,0,0,156.25,0,0.00123094,0.00123094,0.00123094
16,73.1137,0.8338,0.74478,1.03447,0,0,0,0,0,226,0,0.00121679,0.00121679,0.00121679
17,77.7253,0.83993,0.74743,1.04811,0,0,0,0,0,171.25,0,0.00120265,0.00120265,0.00120265
18,82.3545,0.85619,0.75837,1.06986,0,0,0,0,0,191.25,0,0.0011885,0.0011885,0.0011885
19,86.9871,0.82223,0.70588,1.03429,0,0,0,0,0,248.625,0,0.00117435,0.00117435,0.00117435
20,91.6362,0.82107,0.70118,1.03626,0,0,0,0,0,204.875,0,0.00116021,0.00116021,0.00116021
21,96.2857,0.80539,0.68674,1.02198,0,0,0,0,0,207,0,0.00114606,0.00114606,0.00114606
22,100.923,0.82717,0.70002,1.04228,0,0,0,0,0,226.375,0,0.00113191,0.00113191,0.00113191
23,105.571,0.80838,0.66937,1.03853,0,0,0,0,0,221.125,0,0.00111776,0.00111776,0.00111776
24,110.229,0.7968,0.66836,1.03525,0,0,0,0,0,223,0,0.00110362,0.00110362,0.00110362
25,114.88,0.77475,0.65246,1.02561,0,0,0,0,0,233.125,0,0.00108947,0.00108947,0.00108947
26,119.557,0.77883,0.64423,1.03483,0,0,0,0,0,248,0,0.00107532,0.00107532,0.00107532
27,124.248,0.80095,0.65809,1.03532,0,0,0,0,0,190.125,0,0.00106118,0.00106118,0.00106118
28,128.953,0.77612,0.64562,1.03054,0,0,0,0,0,223.75,0,0.00104703,0.00104703,0.00104703
29,133.666,0.79441,0.62993,1.02998,0,0,0,0,0,213.625,0,0.00103288,0.00103288,0.00103288
30,138.351,0.77784,0.61983,1.03341,0,0,0,0,0,233.875,0,0.00101873,0.00101873,0.00101873
31,143.036,0.79085,0.63402,1.0256,0,0,0,0,0,216.875,0,0.00100459,0.00100459,0.00100459
32,147.731,0.76192,0.58665,1.01847,0,0,0,0,0,244.875,0,0.00099044,0.00099044,0.00099044
33,152.432,0.77113,0.58561,1.02169,0,0,0,0,0,192.125,0,0.000976293,0.000976293,0.000976293
34,157.117,0.76873,0.58102,1.02398,0,0,0,0,0,219.5,0,0.000962146,0.000962146,0.000962146
35,161.794,0.77011,0.56848,1.01215,0,0,0,0,0,252.25,0,0.000947999,0.000947999,0.000947999
36,166.477,0.76765,0.57793,1.01055,0,0,0,0,0,258,0,0.000933851,0.000933851,0.000933851
37,171.132,0.75959,0.58087,1.0208,0,0,0,0,0,210.5,0,0.000919704,0.000919704,0.000919704
38,175.806,0.75119,0.57481,1.00976,0,0,0,0,0,252.125,0,0.000905557,0.000905557,0.000905557
39,180.466,0.77311,0.55839,1.01429,0,0,0,0,0,254.375,0,0.00089141,0.00089141,0.00089141
40,185.082,0.76468,0.55922,1.00841,0,0,0,0,0,234.5,0,0.000877263,0.000877263,0.000877263
41,189.725,0.74284,0.5557,1.01802,0,0,0,0,0,224.375,0,0.000863116,0.000863116,0.000863116
42,194.387,0.74983,0.55672,1.017,0,0,0,0,0,246.5,0,0.000848969,0.000848969,0.000848969
43,199.016,0.71223,0.53468,0.99087,0,0,0,0,0,238.25,0,0.000834822,0.000834822,0.000834822
44,203.674,0.73433,0.55315,1.00332,0,0,0,0,0,244,0,0.000820675,0.000820675,0.000820675
45,208.329,0.72929,0.54066,0.99903,0,0,0,0,0,249.125,0,0.000806528,0.000806528,0.000806528
46,212.957,0.73839,0.51982,1.01935,0,0,0,0,0,246,0,0.00079238,0.00079238,0.00079238
47,217.612,0.74072,0.53067,1.00809,0,0,0,0,0,240.5,0,0.000778233,0.000778233,0.000778233
48,222.29,0.71684,0.51332,1.0016,0,0,0,0,0,248.625,0,0.000764086,0.000764086,0.000764086
49,226.924,0.72877,0.53081,0.99978,0,0,0,0,0,244.25,0,0.000749939,0.000749939,0.000749939
50,231.577,0.72786,0.50633,1.0003,0,0,0,0,0,239.875,0,0.000735792,0.000735792,0.000735792
51,236.296,0.72348,0.49482,0.99809,0,0,0,0,0,236,0,0.000721645,0.000721645,0.000721645
52,240.995,0.70352,0.50377,0.99015,0,0,0,0,0,241.625,0,0.000707498,0.000707498,0.000707498
53,245.685,0.68897,0.47895,0.98104,0,0,0,0,0,228,0,0.000693351,0.000693351,0.000693351
54,250.391,0.70051,0.49837,0.99689,0,0,0,0,0,237.75,0,0.000679204,0.000679204,0.000679204
55,255.067,0.70119,0.49924,0.99097,0,0,0,0,0,234.25,0,0.000665057,0.000665057,0.000665057
56,259.82,0.69527,0.50413,0.98441,0,0,0,0,0,253.875,0,0.000650909,0.000650909,0.000650909
57,264.488,0.69495,0.4824,0.99335,0,0,0,0,0,252.25,0,0.000636762,0.000636762,0.000636762
58,269.169,0.67355,0.47695,0.97678,0,0,0,0,0,249.125,0,0.000622615,0.000622615,0.000622615
59,273.852,0.6862,0.47339,0.99271,0,0,0,0,0,262.75,0,0.000608468,0.000608468,0.000608468
60,278.558,0.69023,0.47652,0.98316,0,0,0,0,0,270.5,0,0.000594321,0.000594321,0.000594321
61,283.243,0.67959,0.49004,0.98807,0,0,0,0,0,243.5,0,0.000580174,0.000580174,0.000580174
62,287.912,0.67978,0.47013,0.98507,0,0,0,0,0,242.625,0,0.000566027,0.000566027,0.000566027
63,292.54,0.66364,0.46659,0.97162,0,0,0,0,0,255.25,0,0.00055188,0.00055188,0.00055188
64,297.191,0.66525,0.46724,0.97945,0,0,0,0,0,259.25,0,0.000537733,0.000537733,0.000537733
65,301.856,0.6625,0.46272,0.97745,0,0,0,0,0,268.75,0,0.000523586,0.000523586,0.000523586
66,306.483,0.64542,0.46122,0.97155,0,0,0,0,0,260.25,0,0.000509438,0.000509438,0.000509438
67,311.123,0.66673,0.45998,0.98144,0,0,0,0,0,258.25,0,0.000495291,0.000495291,0.000495291
68,315.802,0.65695,0.4669,0.96578,0,0,0,0,0,259.5,0,0.000481144,0.000481144,0.000481144
69,320.449,0.65506,0.44946,0.96433,0,0,0,0,0,248,0,0.000466997,0.000466997,0.000466997
70,325.104,0.66956,0.45982,0.98073,0,0,0,0,0,253,0,0.00045285,0.00045285,0.00045285
71,329.798,0.64927,0.46092,0.97082,0,0,0,0,0,261.75,0,0.000438703,0.000438703,0.000438703
72,334.48,0.67891,0.46216,0.98332,0,0,0,0,0,258,0,0.000424556,0.000424556,0.000424556
73,339.164,0.6422,0.44357,0.97349,0,0,0,0,0,277.75,0,0.000410409,0.000410409,0.000410409
74,343.902,0.62774,0.43151,0.96072,0,0,0,0,0,281.75,0,0.000396262,0.000396262,0.000396262
75,348.584,0.63143,0.43453,0.9649,0,0,0,0,0,271.75,0,0.000382115,0.000382115,0.000382115
76,353.34,0.63523,0.44819,0.96458,0,0,0,0,0,271.25,0,0.000367967,0.000367967,0.000367967
77,358.007,0.66483,0.45455,0.98277,0,0,0,0,0,265.75,0,0.00035382,0.00035382,0.00035382
78,362.677,0.63967,0.4397,0.96934,0,0,0,0,0,274,0,0.000339673,0.000339673,0.000339673
79,367.354,0.63077,0.43698,0.96807,0,0,0,0,0,268.75,0,0.000325526,0.000325526,0.000325526
80,372.049,0.62565,0.42661,0.97446,0,0,0,0,0,271.75,0,0.000311379,0.000311379,0.000311379
81,376.758,0.62343,0.42427,0.95852,0,0,0,0,0,276.25,0,0.000297232,0.000297232,0.000297232
82,381.442,0.61326,0.42706,0.96223,0,0,0,0,0,281.5,0,0.000283085,0.000283085,0.000283085
83,386.143,0.63588,0.42931,0.95585,0,0,0,0,0,289.5,0,0.000268938,0.000268938,0.000268938
84,390.848,0.60859,0.42425,0.95844,0,0,0,0,0,296.75,0,0.000254791,0.000254791,0.000254791
85,395.539,0.59172,0.40924,0.94423,0,0,0,0,0,298,0,0.000240644,0.000240644,0.000240644
86,400.238,0.61907,0.41837,0.96348,0,0,0,0,0,281.5,0,0.000226497,0.000226497,0.000226497
87,404.915,0.59912,0.4176,0.95573,0,0,0,0,0,279.5,0,0.000212349,0.000212349,0.000212349
88,409.612,0.60838,0.41924,0.95622,0,0,0,0,0,282.5,0,0.000198202,0.000198202,0.000198202
89,414.3,0.6161,0.41563,0.96125,0,0,0,0,0,281.75,0,0.000184055,0.000184055,0.000184055
90,419.039,0.61936,0.41586,0.95789,0,0,0,0,0,277.25,0,0.000169908,0.000169908,0.000169908
91,424.404,0.56127,0.39243,0.92634,0,0,0,0,0,289,0,0.000155761,0.000155761,0.000155761
92,429.007,0.54309,0.36686,0.92571,0,0,0,0,0,283.25,0,0.000141614,0.000141614,0.000141614
93,433.6,0.54851,0.37769,0.92598,0,0,0,0,0,282.75,0,0.000127467,0.000127467,0.000127467
94,438.255,0.5326,0.35939,0.91088,0,0,0,0,0,289.25,0,0.00011332,0.00011332,0.00011332
95,442.85,0.53308,0.3571,0.91242,0,0,0,0,0,294,0,9.91726e-05,9.91726e-05,9.91726e-05
96,447.481,0.53845,0.36125,0.91347,0,0,0,0,0,299.75,0,8.50255e-05,8.50255e-05,8.50255e-05
97,452.081,0.52583,0.35254,0.90753,0,0,0,0,0,297.5,0,7.08784e-05,7.08784e-05,7.08784e-05
98,456.696,0.51218,0.35246,0.90764,0,0,0,0,0,301,0,5.67313e-05,5.67313e-05,5.67313e-05
99,461.305,0.51894,0.35766,0.91029,0,0,0,0,0,304.75,0,4.25842e-05,4.25842e-05,4.25842e-05
100,465.909,0.50944,0.34207,0.91171,0,0,0,0,0,304.5,0,2.84371e-05,2.84371e-05,2.84371e-05
